db-1  | 2025-12-17 04:50:51+00:00 [Note] [Entrypoint]: Entrypoint script for MySQL Server 8.0.44-1.el9 started.
db-1  | 2025-12-17 04:50:52+00:00 [Note] [Entrypoint]: Switching to dedicated user 'mysql'
db-1  | 2025-12-17 04:50:52+00:00 [Note] [Entrypoint]: Entrypoint script for MySQL Server 8.0.44-1.el9 started.
db-1  | '/var/lib/mysql/mysql.sock' -> '/var/run/mysqld/mysqld.sock'
db-1  | 2025-12-17T04:50:53.238561Z 0 [Warning] [MY-011068] [Server] The syntax '--skip-host-cache' is deprecated and will be removed in a future release. Please use SET GLOBAL host_cache_size=0 instead.
db-1  | 2025-12-17T04:50:53.242575Z 0 [System] [MY-010116] [Server] /usr/sbin/mysqld (mysqld 8.0.44) starting as process 1
db-1  | 2025-12-17T04:50:53.249096Z 0 [Warning] [MY-010159] [Server] Setting lower_case_table_names=2 because file system for /var/lib/mysql/ is case insensitive
db-1  | 2025-12-17T04:50:53.268648Z 1 [System] [MY-013576] [InnoDB] InnoDB initialization has started.
db-1  | 2025-12-17T04:50:54.098603Z 1 [System] [MY-013577] [InnoDB] InnoDB initialization has ended.
db-1  | 2025-12-17T04:50:54.402161Z 0 [Warning] [MY-010068] [Server] CA certificate ca.pem is self signed.
db-1  | 2025-12-17T04:50:54.402479Z 0 [System] [MY-013602] [Server] Channel mysql_main configured to support TLS. Encrypted connections are now supported for this channel.
db-1  | 2025-12-17T04:50:54.406800Z 0 [Warning] [MY-011810] [Server] Insecure configuration for --pid-file: Location '/var/run/mysqld' in the path is accessible to all OS users. Consider choosing a different directory.
db-1  | 2025-12-17T04:50:54.500791Z 0 [System] [MY-010931] [Server] /usr/sbin/mysqld: ready for connections. Version: '8.0.44'  socket: '/var/run/mysqld/mysqld.sock'  port: 3306  MySQL Community Server - GPL.
db-1  | 2025-12-17T04:50:54.500820Z 0 [System] [MY-011323] [Server] X Plugin ready for connections. Bind-address: '::' port: 33060, socket: /var/run/mysqld/mysqlx.sock
db-1  | 2025-12-17T04:55:34.084695Z 0 [System] [MY-013172] [Server] Received SHUTDOWN from user <via user signal>. Shutting down mysqld (Version: 8.0.44).
db-1  | 2025-12-17T04:55:36.156959Z 0 [Warning] [MY-010909] [Server] /usr/sbin/mysqld: Forcing close of thread 48  user: 'minecraft_user'.
db-1  | 2025-12-17T04:55:36.161251Z 0 [Warning] [MY-010909] [Server] /usr/sbin/mysqld: Forcing close of thread 8  user: 'minecraft_user'.
db-1  | 2025-12-17T04:55:36.162715Z 0 [Warning] [MY-010909] [Server] /usr/sbin/mysqld: Forcing close of thread 42  user: 'minecraft_user'.
db-1  | 2025-12-17T04:55:36.163984Z 0 [Warning] [MY-010909] [Server] /usr/sbin/mysqld: Forcing close of thread 43  user: 'minecraft_user'.
db-1  | 2025-12-17T04:55:36.165272Z 0 [Warning] [MY-010909] [Server] /usr/sbin/mysqld: Forcing close of thread 44  user: 'minecraft_user'.
db-1  | 2025-12-17T04:55:36.167018Z 0 [Warning] [MY-010909] [Server] /usr/sbin/mysqld: Forcing close of thread 45  user: 'minecraft_user'.
db-1  | 2025-12-17T04:55:36.170985Z 0 [Warning] [MY-010909] [Server] /usr/sbin/mysqld: Forcing close of thread 46  user: 'minecraft_user'.
db-1  | 2025-12-17T04:55:36.173215Z 0 [Warning] [MY-010909] [Server] /usr/sbin/mysqld: Forcing close of thread 47  user: 'minecraft_user'.
db-1  | 2025-12-17T04:55:37.143069Z 0 [System] [MY-010910] [Server] /usr/sbin/mysqld: Shutdown complete (mysqld 8.0.44)  MySQL Community Server - GPL.
db-1  | 2025-12-17 04:59:20+00:00 [Note] [Entrypoint]: Entrypoint script for MySQL Server 8.0.44-1.el9 started.
db-1  | 2025-12-17 04:59:21+00:00 [Note] [Entrypoint]: Switching to dedicated user 'mysql'
db-1  | 2025-12-17 04:59:21+00:00 [Note] [Entrypoint]: Entrypoint script for MySQL Server 8.0.44-1.el9 started.
db-1  | '/var/lib/mysql/mysql.sock' -> '/var/run/mysqld/mysqld.sock'
db-1  | 2025-12-17T04:59:23.047403Z 0 [Warning] [MY-011068] [Server] The syntax '--skip-host-cache' is deprecated and will be removed in a future release. Please use SET GLOBAL host_cache_size=0 instead.
